PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2002-02-27,-6.68, 3.97, -15.61, 1.84, 2.07, 8.05, repro,
2002-02-28,-5.42, 4.08, -9.39, 1.64, 1.85, 6.99, repro,
2002-03-01,-6.31, 3.96, -9.09, 1.68, 1.87, 7.28, repro,
2002-03-02,-1.77, 0.11, -10.86, 1.68, 1.78, 7.24, repro,
2002-03-03,-3.85, 1.95, -17.85, 1.83, 1.91, 7.86, repro,
2002-03-04,-6.48, 4.41, -19.54, 2, 2.2, 8.75, repro,
2002-03-05,-5.56, 5.41, -8.63, 1.84, 1.96, 8.4, repro,
2002-03-06,-4.76, 2.75, -13.37, 1.8, 1.91, 7.63, repro,
2002-03-07,-4.57, 0.92, -12.53, 1.79, 1.81, 7.69, repro,
2002-03-08,-4.09, 1.37, -13.63, 1.54, 1.65, 6.61, repro,
2002-03-09,-2.93, 0.45, -9.28, 1.66, 1.76, 7.23, repro,
2002-03-10,-1.94, 2.11, -13.86, 1.64, 1.78, 7.16, repro,
2002-03-11,-2.55, 2.87, -6.69, 1.67, 1.75, 7.32, repro,
2002-03-12,-3.03, 0.63, -9.08, 1.66, 1.8, 7.09, repro,
2002-03-13,-3.86, 0.71, -1.08, 2.04, 2.11, 9.03, repro,
2002-03-14,-3.85, 0.78, -6.52, 1.49, 1.68, 6.47, repro,
2002-03-15,-3.19, 3.68, 2.51, 1.61, 1.86, 6.93, repro,
2002-03-16,-3.78, 1.42, -5.57, 1.64, 1.77, 7, repro,
2002-03-17,-1.75, 0.25, -7.31, 1.62, 1.74, 7.08, repro,
2002-03-18,-2.90, 2.17, -12.71, 1.71, 1.79, 7.38, repro,
2002-03-19,-3.83, 3.50, -12.45, 1.61, 1.86, 6.97, repro,
2002-03-20,-1.99, 1.91, -9.57, 1.65, 1.86, 7.12, repro,
2002-03-21,-3.55, 2.44, -4.13, 1.9, 2.09, 8.19, repro,
2002-03-22,-3.67, 2.07, -7.86, 1.69, 1.99, 7.15, repro,
2002-03-23,-6.72, 1.92, -4.11, 2.04, 2.91, 7.66, repro,
2002-03-24,-5.27, 1.15, -7.73, 1.76, 1.92, 7.57, repro,
2002-03-25,-3.88, 1.53, -3.76, 1.92, 2.21, 8.66, repro,
2002-03-26,-5.01, 0.54, -2.33, 1.92, 2.42, 8.12, repro,
2002-03-27,-3.32, 0.82, -8.59, 2.01, 2.67, 8.71, repro,
2002-03-28,-4.00, 1.93, -1.90, 1.71, 1.89, 7.11, repro,
2002-03-29,-4.48, 0.72, -3.48, 1.69, 1.85, 7.21, repro,
2002-03-30,-2.90, 0.90, 5.50, 1.65, 1.97, 7.24, repro,
2002-03-31,-2.86, 2.03, -0.95, 1.72, 1.96, 7.44, repro,
2002-04-01,-5.44, 5.54, 2.83, 1.98, 2.18, 8.92, repro,
2002-04-02,-5.28, 3.00, 0.64, 1.83, 2.03, 8.14, repro,
2002-04-03,-8.27, 0.94, -13.08, 1.89, 2.09, 8.36, repro,
2002-04-04,-5.77, 2.24, -14.12, 1.81, 2.03, 7.63, repro,
2002-04-05,-4.68, 3.62, -10.96, 1.74, 1.87, 7.32, repro,
2002-04-06,-6.00, 1.87, -11.13, 1.59, 1.84, 6.98, repro,
2002-04-07,-3.84, 2.08, -8.99, 1.63, 1.89, 7.09, repro,
2002-04-08,-3.52, 0.89, -4.30, 1.74, 1.95, 7.27, repro,
2002-04-09,-3.82, 2.59, -12.13, 1.76, 1.96, 7.56, repro,
2002-04-10,-3.22, 0.46, -11.67, 1.84, 2.12, 8.16, repro,
2002-04-11,-4.57, 2.36, -19.34, 2, 2.21, 8.84, repro,
2002-04-12,-2.51, 4.53, -14.85, 1.91, 2.17, 8.45, repro,
2002-04-13,-3.14, 2.02, -11.46, 2.04, 2.27, 9.14, repro,
2002-04-14,-3.81, 4.20, -2.32, 2.02, 2.27, 8.97, repro,
2002-04-15,-3.38, 2.45, -0.06, 1.68, 1.84, 7.37, repro,
2002-04-16,12.33, -24.45, 55.11, 17.61, 47.58, 82.81, repro,
2002-04-17,0.72, 4.04, -6.17, 4.49, 4.79, 19.37, repro,
2002-04-18,-3.13, 3.29, 8.32, 1.99, 2.05, 8.67, repro,
2002-04-19,-5.56, 5.61, 1.72, 1.87, 2.07, 8.18, repro,
2002-04-20,-5.76, 4.15, -2.68, 1.81, 2.06, 7.82, repro,
2002-04-21,-5.19, 2.95, 3.91, 1.61, 1.84, 6.91, repro,
2002-04-22,-5.48, 5.62, 4.84, 1.64, 1.74, 6.9, repro,
2002-04-23,-7.05, 5.33, 18.57, 1.9, 2.12, 8.18, repro,
2002-04-24,-3.90, 4.72, -0.50, 1.67, 1.8, 7.16, repro,
2002-04-25,-3.19, 5.43, -9.30, 1.81, 1.99, 7.9, repro,
2002-04-26,-3.29, 5.45, -3.66, 1.87, 2.06, 8.16, repro,
2002-04-27,-5.12, 2.48, 3.39, 1.7, 1.93, 7.3, repro,
2002-04-28,-2.94, 3.36, 7.48, 1.59, 1.87, 6.78, repro,
2002-04-29,-3.71, 5.08, 5.45, 1.77, 1.9, 7.5, repro,
2002-04-30,-2.06, 1.47, -2.15, 2.01, 2.14, 8.48, repro,
2002-05-01,-3.06, 2.78, 1.51, 1.64, 1.94, 6.82, repro,
2002-05-02,-3.35, 2.32, 0.32, 1.52, 1.7, 6.49, repro,
2002-05-03,-2.21, 1.54, -0.85, 1.62, 1.74, 6.68, repro,
2002-05-04,-3.62, 2.57, -2.90, 1.66, 1.91, 7.15, repro,
2002-05-05,-2.47, 0.72, -5.36, 1.8, 2.04, 7.7, repro,
2002-05-06,-3.08, 3.83, 0.50, 1.81, 1.95, 7.79, repro,
2002-05-07,-2.96, 2.13, 1.98, 1.62, 1.81, 6.97, repro,
2002-05-08,-4.43, 2.33, 4.75, 1.58, 1.73, 6.81, repro,
2002-05-09,-2.72, 1.31, 8.97, 1.68, 1.83, 7.24, repro,
2002-05-10,-2.68, 2.18, -10.16, 1.64, 1.78, 7.06, repro,
2002-05-11,-2.94, 2.88, -3.29, 1.73, 1.91, 7.44, repro,
2002-05-12,-4.52, 3.01, -6.77, 1.79, 1.93, 7.69, repro,
2002-05-13,-2.60, 1.14, 2.24, 1.85, 2, 8.08, repro,
2002-05-14,-2.77, 1.10, 1.05, 1.97, 2.13, 8.51, repro,
2002-05-15,-2.92, 1.71, 8.56, 1.73, 1.92, 7.49, repro,
2002-05-16,-1.87, 3.01, 3.37, 2, 2.14, 8.7, repro,
2002-05-17,-2.48, 2.89, -2.56, 1.73, 1.97, 7.48, repro,
2002-05-18,-4.17, 3.52, 2.56, 1.89, 2.04, 8.22, repro,
2002-05-19,-5.90, 2.85, 8.25, 2.15, 2.31, 9.3, repro,
2002-05-20,-3.04, 2.00, 3.63, 1.68, 1.83, 7.03, repro,
2002-05-21,-4.14, 1.20, 0.54, 1.65, 1.76, 7.04, repro,
2002-05-22,-4.18, 3.53, -2.16, 1.57, 1.72, 6.73, repro,
2002-05-23,-3.79, 3.05, 0.55, 1.53, 1.72, 6.62, repro,
2002-05-24,-2.95, 3.04, 0.65, 1.51, 1.64, 6.48, repro,
2002-05-25,-3.69, 2.76, -2.21, 1.49, 1.62, 6.42, repro,
2002-05-26,-2.22, 1.47, 8.98, 1.65, 1.82, 7.03, repro,
2002-05-27,-0.93, 2.74, 9.25, 2.12, 2.37, 9.03, repro,
2002-05-28,-2.24, 3.29, 5.28, 1.7, 1.84, 7.36, repro,
2002-05-29,-1.63, 1.70, 0.27, 1.7, 1.85, 7.43, repro,
2002-05-30,-3.29, 0.31, -5.42, 2.09, 2.28, 9.21, repro,
2002-05-31,-2.30, 1.90, 7.74, 2.2, 2.68, 9.05, repro,
2002-06-01,-4.77, 1.19, 7.03, 2.4, 3.08, 9.68, repro,
2002-06-02,-2.93, 1.24, 15.03, 1.87, 2.13, 7.99, repro,
2002-06-03,-4.23, 4.66, 19.16, 1.93, 2.31, 8.22, repro,
2002-06-04,-4.79, 3.55, 5.52, 2.04, 2.27, 8.3, repro,
2002-06-05,-0.32, 5.41, 4.74, 2.32, 2.69, 9.73, repro,
2002-06-06,-4.69, 0.51, 26.33, 3.2, 3.52, 13.86, repro,
2002-06-07,-1.27, 5.98, 5.74, 1.94, 2.01, 8.32, repro,
2002-06-08,-3.62, 1.30, -2.06, 1.74, 1.87, 7.44, repro,
2002-06-09,-4.19, 1.23, 2.51, 2.05, 2.13, 8.93, repro,
2002-06-10,-3.29, 4.50, 1.02, 1.89, 2.04, 8.31, repro,
2002-06-11,-4.75, 3.33, -4.76, 1.89, 2, 8.27, repro,
2002-06-12,-5.19, 1.03, 5.72, 1.93, 2.07, 8.42, repro,
2002-06-13,-6.45, 3.85, 20.31, 2.16, 2.28, 9.33, repro,
2002-06-14,-3.69, 2.91, 2.93, 2.06, 2.13, 9.1, repro,
2002-06-15,-3.54, 5.03, 5.84, 2.19, 2.35, 9.79, repro,
2002-06-16,-3.44, 1.85, -5.16, 2.19, 2.25, 9.51, repro,
2002-06-17,1.14, 1.29, -9.73, 2.18, 2.27, 9.67, repro,
2002-06-18,-9.88, -1.50, 31.13, 4.67, 4.75, 20.77, repro,
2002-06-19,-11.84, -8.61, 11.07, 13.68, 30.58, 43.42, repro,
2002-06-20,-2.82, 0.76, 2.10, 3.9, 5.28, 16.83, repro,
2002-06-21,-21.52, -8.16, 58.72, 9.74, 10.3, 52.13, repro,
2002-06-22,-4.01, 3.35, -19.59, 2.14, 2.21, 9.57, repro,
2002-06-23,-2.64, 1.38, -6.57, 1.77, 1.89, 7.38, repro,
2002-06-24,-4.06, 0.43, -5.00, 1.88, 2.06, 8.27, repro,
2002-06-25,-3.94, 3.01, -3.67, 1.64, 1.8, 7.07, repro,
2002-06-26,-2.53, 2.40, -8.79, 1.82, 1.94, 8.07, repro,
2002-06-27,-3.51, 3.05, -4.52, 2.09, 2.28, 9.47, repro,
2002-06-28,-4.36, 2.96, 9.09, 2.05, 2.23, 9.13, repro,
2002-06-29,-2.50, 3.14, 3.99, 1.88, 1.99, 8.5, repro,
2002-06-30,-3.77, 1.44, -0.39, 2.01, 2.06, 8.77, repro,
2002-07-01,-2.26, 3.88, 1.71, 2.11, 2.46, 8.93, repro,
2002-07-02,-3.91, 3.12, 8.07, 2.2, 2.54, 9.61, repro,
2002-07-03,-7.61, -3.99, -0.39, 2.41, 2.61, 9.96, repro,
2002-07-04,-5.91, 2.51, -7.55, 2.71, 2.8, 11.85, repro,
2002-07-05,-3.78, 4.50, 11.47, 2.29, 2.52, 9.7, repro,
2002-07-06,-2.20, 0.73, 11.99, 2.27, 2.54, 9.25, repro,
2002-07-07,-2.52, 1.38, -7.13, 2.32, 2.78, 9.95, repro,
2002-07-08,-1.13, 2.81, -6.10, 2.24, 2.61, 9.73, repro,
2002-07-09,-6.48, 2.24, 11.85, 2.24, 2.27, 9.58, repro,
2002-07-10,-2.56, 0.96, -5.60, 1.85, 1.97, 8.26, repro,
2002-07-11,-3.79, 3.60, -4.79, 1.66, 1.79, 7.36, repro,
2002-07-12,-4.29, -1.28, -15.14, 2.02, 2.19, 8.96, repro,
2002-07-13,-1.68, 4.04, 5.23, 1.96, 2.11, 8.8, repro,
2002-07-14,-5.17, 3.27, 10.62, 1.66, 1.8, 7.23, repro,
2002-07-15,-3.48, 4.14, -0.19, 1.77, 1.88, 7.72, repro,
2002-07-16,-6.92, 0.73, 6.99, 2.84, 2.97, 13.35, repro,
2002-07-17,-1.91, 1.21, -9.87, 2, 2.09, 8.86, repro,
2002-07-18,-3.34, 4.18, -5.32, 2.41, 2.71, 10.91, repro,
2002-07-19,-3.15, 1.69, 2.65, 1.98, 2.13, 8.76, repro,
2002-07-20,-2.54, 1.73, -9.72, 3.21, 3.55, 15.42, repro,
2002-07-21,-1.57, 6.23, -22.41, 7.03, 7.81, 31.61, repro,
2002-07-22,-3.73, 3.68, -12.01, 2.18, 2.28, 9.96, repro,
2002-07-23,-5.05, 4.62, -2.59, 1.78, 1.91, 7.87, repro,
2002-07-24,-4.23, 4.79, -12.94, 1.85, 2, 8.28, repro,
2002-07-25,-4.72, 1.83, -2.41, 1.87, 2.08, 8.35, repro,
2002-07-26,-4.36, 3.44, -0.25, 1.79, 1.93, 8, repro,
2002-07-27,-1.99, 1.17, -8.75, 1.84, 2, 8.25, repro,
2002-07-28,-3.94, 2.44, -2.54, 2, 2.14, 8.88, repro,
2002-07-29,-3.40, 0.64, -8.20, 2.09, 2.35, 9.49, repro,
2002-07-30,-2.06, 2.46, -5.81, 1.93, 2.07, 8.49, repro,
2002-07-31,-2.42, 4.16, 7.02, 1.75, 1.9, 7.76, repro,
2002-08-01,-3.49, 2.05, -3.23, 3.48, 3.71, 14.16, repro,
2002-08-02,-2.62, 2.14, 3.85, 1.93, 2.05, 8.54, repro,
2002-08-03,-2.87, 3.39, 3.42, 4.04, 4.46, 15.62, repro,
2002-08-04,-2.88, -0.46, -6.93, 1.95, 2.14, 8.61, repro,
2002-08-05,-2.74, 3.56, 4.15, 1.94, 2.12, 8.56, repro,
2002-08-06,-2.87, 3.63, -9.87, 1.97, 2.12, 8.75, repro,
2002-08-07,-3.89, 1.49, 11.13, 2.52, 2.91, 11.58, repro,
2002-08-08,-3.64, 2.88, -2.58, 1.96, 2.11, 8.45, repro,
2002-08-09,-0.69, 1.20, -16.26, 1.85, 2.04, 8.16, repro,
2002-08-10,-2.33, 2.02, -1.89, 1.92, 2.07, 8.36, repro,
2002-08-11,-2.71, 0.09, -7.88, 1.79, 1.96, 7.87, repro,
2002-08-12,-2.48, 2.48, -4.51, 1.63, 1.79, 7.12, repro,
2002-08-13,-4.59, 1.26, -3.29, 1.97, 2.1, 8.51, repro,
2002-08-14,-3.61, -0.35, -1.52, 2.08, 2.33, 9.24, repro,
2002-08-15,-3.41, 1.77, -5.32, 2.01, 2.13, 8.88, repro,
2002-08-16,-2.25, 2.37, -10.99, 2.06, 2.24, 9.16, repro,
2002-08-17,-4.76, 2.87, -8.68, 2.17, 2.33, 9.88, repro,
2002-08-18,-3.29, 2.75, -7.68, 2.01, 2.11, 9.2, repro,
2002-08-19,-3.38, 1.94, -10.94, 1.84, 1.94, 8.18, repro,
2002-08-20,-5.14, 2.40, -6.62, 2.02, 2.17, 8.89, repro,
2002-08-21,-3.72, 0.97, -2.15, 2, 2.41, 8.38, repro,
2002-08-22,-2.00, -0.45, -13.27, 1.8, 1.93, 7.67, repro,
2002-08-23,-4.75, 2.21, -9.45, 1.73, 1.85, 7.56, repro,
2002-08-24,-4.71, -0.15, -10.86, 1.91, 2.03, 8.38, repro,
2002-08-25,-3.39, 1.18, -8.90, 1.87, 2.13, 8.31, repro,
2002-08-26,-4.37, 5.76, -31.35, 2.69, 2.78, 11.67, repro,
2002-08-27,-3.99, -0.27, -5.02, 2.16, 2.26, 9.66, repro,
2002-08-28,-4.45, -2.37, -16.67, 2.14, 2.23, 9.49, repro,
2002-08-29,-0.40, 2.87, -7.90, 1.99, 2.14, 8.85, repro,
2002-08-30,-1.87, 1.13, -11.20, 2.05, 2.47, 8.9, repro,
2002-08-31,-5.05, 6.37, -3.23, 3.37, 3.97, 13.52, repro,
2002-09-01,-2.15, 1.02, -8.47, 1.78, 1.97, 7.63, repro,
2002-09-02,-0.10, 2.27, -9.21, 2.02, 2.21, 9.04, repro,
2002-09-03,-3.19, 1.68, -6.81, 1.97, 2.19, 8.73, repro,
2002-09-04,-3.41, 0.98, -6.93, 2, 2.24, 9.03, repro,
2002-09-05,-6.20, -1.17, -20.25, 2.15, 2.35, 9.56, repro,
2002-09-06,-3.66, 4.02, -16.32, 2.11, 2.34, 9.08, repro,
2002-09-07,-2.25, 0.04, -14.68, 2.11, 2.29, 9.38, repro,
2002-09-08,-4.50, 0.90, -9.99, 2.65, 2.79, 10.81, repro,
2002-09-09,-4.43, 2.75, -2.96, 2.25, 2.36, 9.82, repro,
2002-09-10,-2.50, 0.47, 3.32, 2.18, 2.37, 9.74, repro,
2002-09-11,-2.83, 2.06, -8.52, 1.86, 2.07, 8.21, repro,
2002-09-12,-3.63, 1.62, -0.40, 1.93, 2.1, 8.22, repro,
2002-09-13,-3.58, 2.46, -8.75, 2.09, 2.18, 9.04, repro,
2002-09-14,-2.15, 2.29, -7.45, 2.2, 2.54, 9.4, repro,
2002-09-15,-1.43, 1.92, -7.37, 1.95, 2.22, 8.47, repro,
2002-09-16,-2.70, 3.17, 0.41, 2.03, 2.18, 9.09, repro,
2002-09-17,-0.61, 0.56, 6.59, 2.17, 2.31, 9.43, repro,
2002-09-18,-1.67, -0.51, 4.90, 3.37, 3.97, 14.25, repro,
2002-09-19,-0.88, 2.64, 4.73, 2.11, 2.22, 9.27, repro,
2002-09-20,-3.89, 1.21, 3.53, 2.34, 2.68, 10.17, repro,
2002-09-21,-2.96, 1.59, -6.22, 2.3, 2.42, 10.22, repro,
2002-09-22,-1.92, 1.68, -11.96, 1.84, 1.99, 7.94, repro,
2002-09-23,-3.18, 0.07, 1.23, 1.99, 2.14, 8.72, repro,
2002-09-24,-2.88, 2.30, -6.09, 1.58, 1.73, 6.82, repro,
2002-09-25,-1.02, 1.41, -6.73, 1.92, 2.14, 8.49, repro,
2002-09-26,-0.49, -0.01, 0.33, 2.02, 2.17, 8.84, repro,
2002-09-27,-5.61, 4.42, -1.65, 2.31, 2.45, 10.46, repro,
2002-09-28,0.05, 2.54, -12.21, 1.74, 1.91, 7.59, repro,
2002-09-29,-1.82, 1.02, 1.32, 2.04, 2.21, 9.18, repro,
2002-09-30,-0.82, 2.23, -6.70, 2.25, 2.36, 10.05, repro,
2002-10-01,-0.51, 0.08, 2.13, 2.16, 2.36, 9.56, repro,
2002-10-02,-1.12, 1.56, -3.73, 2, 2.19, 8.7, repro,
2002-10-03,-1.68, 0.99, -6.22, 2.02, 2.19, 8.69, repro,
2002-10-04,-2.22, 4.73, -11.48, 4.12, 4.45, 17.11, repro,
2002-10-06,-2.52, 5.13, -6.43, 2.17, 2.63, 9.4, repro,
2002-10-07,-0.93, -0.40, -0.05, 2.37, 2.69, 9.84, repro,
2002-10-09,-3.26, 2.86, -3.03, 2.23, 2.71, 8.92, repro,
2002-10-10,-3.28, 2.67, -5.88, 2.23, 2.41, 9.59, repro,
2002-10-11,-3.19, 0.15, 0.42, 2.3, 2.76, 9.37, repro,
2002-10-12,-0.14, 4.41, -6.04, 2.41, 2.78, 10.54, repro,
2002-10-13,-3.09, 8.26, 1.75, 2.53, 2.99, 11.86, repro,
2002-10-14,-3.77, 1.99, -8.54, 2.3, 2.52, 9.59, repro,
2002-10-15,-1.82, -8.80, -28.07, 4.8, 8.56, 17.68, repro,
2002-10-16,-5.29, 4.99, 3.23, 2.31, 2.75, 10.22, repro,
2002-10-17,-3.40, 3.19, -4.09, 1.98, 2.41, 7.63, repro,
2002-10-18,-4.16, 1.90, -2.11, 2.22, 2.74, 7.96, repro,
2002-10-19,-1.49, 0.81, -2.48, 1.7, 1.78, 7.26, repro,
2002-10-20,-4.42, 1.29, 0.31, 2.1, 2.27, 9, repro,
2002-10-21,-1.74, 1.29, 1.32, 2.13, 2.55, 9.25, repro,
2002-10-22,-0.98, 0.54, 1.52, 2.18, 2.56, 8.97, repro,
2002-10-23,-4.34, 2.88, 1.72, 1.94, 2.18, 7.69, repro,
2002-10-24,-0.95, 4.12, -3.83, 2.21, 2.52, 8.82, repro,
2002-10-25,1.21, 1.47, 1.04, 1.78, 1.87, 7.84, repro,
2002-10-26,-0.14, 2.21, -4.54, 1.94, 2, 8.6, repro,
2002-10-27,-3.17, -2.23, -11.54, 1.96, 2.09, 8.65, repro,
2002-10-29,-2.25, -1.00, 0.14, 1.85, 1.88, 7.92, repro,
2002-10-30,-2.43, 2.32, -3.62, 2.57, 2.61, 11.75, repro,
2002-10-31,-0.93, -0.53, -10.47, 3.31, 3.66, 14.18, repro,
2002-11-01,-2.01, 2.12, -5.78, 1.88, 1.91, 8.43, repro,
2002-11-02,-2.84, 0.75, -1.45, 1.73, 1.97, 7.5, repro,
2002-11-03,-5.55, 0.77, 5.32, 2.61, 2.86, 11.09, repro,
2002-11-04,0.63, 1.09, -14.72, 2.56, 2.99, 10.82, repro,
2002-11-05,-6.57, -1.40, -1.41, 2.74, 2.86, 11.54, repro,
2002-11-06,-5.26, 1.93, -11.06, 2.14, 2.33, 9.75, repro,
2002-11-07,-6.85, 2.36, -3.96, 1.49, 1.58, 6.43, repro,
2002-11-08,-5.76, 2.50, -3.59, 1.62, 1.67, 6.98, repro,
2002-11-09,-2.75, 1.23, -7.87, 1.91, 1.89, 8.31, repro,
2002-11-10,-3.10, -0.09, 1.18, 1.8, 1.9, 7.99, repro,
2002-11-11,-0.59, 2.36, 7.69, 1.72, 1.79, 7.57, repro,
2002-11-12,-2.14, -0.65, 0.95, 2.01, 2.15, 8.69, repro,
2002-11-13,-6.62, 2.96, -8.31, 1.99, 2.12, 8.97, repro,
2002-11-14,-5.65, 3.11, -4.27, 1.48, 1.55, 6.45, repro,
2002-11-15,-6.70, 2.29, -6.29, 1.76, 1.9, 7.86, repro,
2002-11-16,-6.26, 1.59, -18.84, 1.99, 2.06, 8.86, repro,
2002-11-17,-7.66, 2.54, -10.33, 1.87, 1.93, 8.35, repro,
2002-11-18,-5.94, 5.52, -2.92, 1.47, 1.57, 6.31, repro,
2002-11-19,-4.38, 4.19, 1.56, 1.5, 1.66, 6.27, repro,
2002-11-20,-5.18, 3.38, -8.17, 1.69, 1.94, 7.18, repro,
2002-11-21,-4.16, 1.52, -3.25, 2.11, 2.39, 9.23, repro,
2002-11-22,-7.24, 3.47, -12.75, 1.89, 2.04, 8.32, repro,
2002-11-23,-5.49, 3.59, -8.32, 1.45, 1.56, 6.25, repro,
2002-11-24,-5.82, 2.93, -8.73, 1.4, 1.53, 6.04, repro,
2002-11-25,-5.75, 2.30, -1.53, 1.64, 1.73, 6.79, repro,
2002-11-26,-5.39, 3.71, -9.23, 1.75, 1.94, 7.61, repro,
2002-11-27,-6.65, 3.29, -4.12, 1.57, 1.68, 6.59, repro,
2002-11-28,-5.27, 3.95, -5.64, 1.56, 1.68, 6.58, repro,
2002-11-29,-3.71, 3.58, -4.01, 1.55, 1.65, 6.65, repro,
2002-11-30,-6.25, 2.54, -2.46, 2.06, 2.26, 8.72, repro,
2002-12-01,-5.88, 4.13, -0.05, 1.92, 2.06, 8.14, repro,
2002-12-02,-4.51, 2.21, -8.22, 1.68, 1.86, 7.39, repro,
2002-12-03,-5.26, 2.53, -10.01, 1.53, 1.68, 6.56, repro,
2002-12-04,-2.97, 0.88, -8.37, 1.66, 1.92, 7.3, repro,
2002-12-05,-3.70, -0.30, -11.85, 1.75, 2, 7.74, repro,
2002-12-06,-2.88, 1.39, -3.88, 2, 2.17, 8.69, repro,
2002-12-07,-2.19, 3.03, -4.63, 1.71, 2.11, 6.92, repro,
2002-12-08,-4.40, 5.39, -5.67, 2.81, 3.99, 11.02, repro,
2002-12-09,-2.62, 1.62, -8.65, 1.81, 2.04, 7.84, repro,
2002-12-10,-3.26, 1.60, -11.51, 2.1, 2.14, 9.22, repro,
2002-12-11,1.41, 0.52, -16.32, 2.47, 2.64, 9.66, repro,
2002-12-12,-2.86, 2.98, -3.48, 1.88, 2.09, 8.38, repro,
2002-12-13,-2.05, 3.21, -0.70, 2.28, 2.35, 10.33, repro,
2002-12-14,-4.87, 2.99, -3.68, 1.79, 1.9, 7.83, repro,
2002-12-15,-4.84, 1.95, -7.82, 1.66, 1.72, 7.19, repro,
2002-12-16,-3.32, 0.00, -9.54, 1.59, 1.67, 6.87, repro,
2002-12-17,-3.14, 1.18, -10.04, 1.59, 1.65, 6.73, repro,
2002-12-18,-2.16, 0.51, -10.63, 1.83, 1.89, 7.7, repro,
2002-12-19,-5.57, 0.81, -10.27, 2.36, 2.41, 9.86, repro,
2003-01-16,-7.36, 7.88, -24.94, 3.65, 3.8, 16.7, repro,
2003-01-17,-6.08, 5.48, -9.72, 1.39, 1.47, 5.89, repro,
2003-01-18,-3.81, 5.25, -11.37, 1.73, 1.74, 6.95, repro,
2003-01-19,-4.65, 4.62, -15.32, 1.83, 1.75, 7.4, repro,
2003-01-20,-4.18, 4.25, -9.30, 1.65, 1.65, 7.02, repro,
2003-01-21,-3.71, 3.30, -8.07, 1.75, 1.81, 7.52, repro,
2003-01-22,-3.48, 4.98, -6.56, 1.67, 1.69, 7.21, repro,
2003-01-23,-6.06, 5.49, -11.27, 1.74, 1.78, 7.62, repro,
2003-01-24,-4.69, 5.34, -10.34, 1.55, 1.69, 6.68, repro,
2003-01-25,-4.60, 5.16, -17.69, 1.55, 1.61, 6.86, repro,
2003-01-26,-3.46, 3.75, -17.79, 1.75, 1.89, 7.7, repro,
2003-01-27,-4.95, 6.55, -11.95, 1.32, 1.46, 5.69, repro,
2003-01-28,-3.01, 3.23, -15.42, 1.23, 1.25, 5.27, repro,
2003-01-29,-3.32, 4.12, -11.96, 1.76, 1.87, 7.23, repro,
2003-01-30,-1.40, 2.38, -10.53, 1.87, 2.23, 7.63, repro,
2003-01-31,-3.01, 3.04, -11.16, 1.7, 1.78, 7.41, repro,
2003-02-01,-2.79, 5.91, -5.32, 1.6, 1.69, 6.92, repro,
2003-02-02,-2.40, 5.10, -7.29, 1.59, 1.68, 6.97, repro,
2003-02-03,-3.95, 4.50, -6.20, 1.67, 1.82, 7.28, repro,
2003-02-04,-3.01, 4.42, -9.63, 1.87, 1.95, 8.34, repro,
2003-02-05,-1.51, 2.05, -14.88, 2.05, 2.21, 9.29, repro,
2003-02-06,-1.49, 3.57, -9.20, 1.79, 1.9, 7.91, repro,
2003-02-07,-2.86, 4.87, -5.33, 1.97, 2.03, 8.73, repro,
2003-02-08,-4.72, 4.33, -7.18, 1.76, 1.92, 7.8, repro,
2003-02-09,-5.17, 4.19, -10.44, 1.82, 1.98, 8.14, repro,
2003-02-10,-3.24, 5.23, -7.80, 2.06, 2.16, 9.18, repro,
2003-02-11,-1.34, 4.86, -9.22, 1.65, 1.74, 7.29, repro,
2003-02-12,-1.88, 1.96, -18.88, 1.69, 1.84, 7.39, repro,
2003-02-13,-2.57, 3.54, -18.32, 1.73, 1.93, 7.35, repro,
2003-02-14,-2.58, 1.64, -13.31, 1.71, 1.85, 7.25, repro,
2003-02-15,-2.34, 2.04, -15.57, 1.69, 1.89, 7.12, repro,
2003-02-16,-4.86, 0.70, -12.58, 1.96, 2.16, 8.67, repro,
2003-02-17,-2.32, 3.10, -23.43, 2.15, 2.29, 9.68, repro,
2003-02-18,-0.41, 2.97, -16.71, 1.79, 1.9, 7.68, repro,
2003-02-19,-2.16, 2.88, -10.69, 1.71, 1.83, 7.29, repro,
2003-02-20,-2.43, 4.53, -7.54, 1.74, 1.82, 7.53, repro,
2003-02-21,-3.62, 3.44, -9.89, 1.7, 1.77, 7.24, repro,
2003-02-22,-1.35, 2.28, -7.65, 2.14, 2.37, 9.36, repro,
2003-02-23,-3.63, 3.66, -8.29, 1.8, 1.89, 7.91, repro,
2003-02-24,-0.18, 3.07, -17.21, 1.64, 1.71, 6.96, repro,
2003-02-25,-2.54, 2.78, -14.82, 1.75, 1.93, 7.63, repro,
2003-02-26,-3.07, 2.09, -8.18, 1.63, 1.72, 7, repro,
2003-02-27,-2.80, 2.53, -12.55, 1.95, 2.04, 8.44, repro,
