PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-07-12,-2.27, 3.01, -17.45, 2.24, 2.28, 10.07, repro,
2001-07-13,-2.37, 2.47, 2.63, 2.42, 2.59, 11.12, repro,
2001-07-14,-1.49, 1.83, -1.73, 2.22, 2.24, 10.02, repro,
2001-07-15,-1.97, 2.99, 6.03, 1.71, 1.74, 7.51, repro,
2001-07-16,-0.67, 1.72, 4.64, 2.75, 2.91, 13.7, repro,
2001-07-17,-7.67, 4.30, -3.39, 2.35, 2.4, 10.66, repro,
2001-07-18,0.17, 0.31, 4.55, 1.86, 1.85, 8.36, repro,
2001-07-19,1.63, 2.23, 13.61, 2.71, 2.84, 12.11, repro,
2001-07-20,-0.29, -0.87, -8.84, 2.13, 2.2, 9.7, repro,
2001-07-21,-1.37, 1.44, -0.74, 1.74, 1.75, 7.74, repro,
2001-07-22,0.20, 2.75, -0.70, 2.04, 2.02, 9.25, repro,
2001-07-23,2.38, 1.68, 9.08, 2.08, 2.08, 9.4, repro,
2001-07-24,2.36, 0.54, 6.43, 1.93, 1.97, 8.75, repro,
2001-07-25,5.63, 6.34, 1.45, 3.52, 3.46, 16.37, repro,
2001-07-26,3.06, 2.63, -5.43, 2.01, 2.02, 9.24, repro,
2001-07-27,2.85, 1.14, 1.81, 2.05, 2.17, 9.18, repro,
2001-07-28,-0.33, 1.54, -7.33, 1.91, 1.88, 8.58, repro,
2001-07-29,0.98, 3.28, 6.49, 1.92, 1.95, 8.84, repro,
2001-07-30,1.15, 2.88, -9.57, 2.2, 2.17, 9.85, repro,
2001-07-31,0.51, 1.03, 7.31, 1.89, 1.86, 8.7, repro,
2001-08-01,2.01, 2.43, 6.15, 1.59, 1.65, 7.01, repro,
2001-08-02,1.05, 1.80, 5.22, 1.42, 1.45, 6.34, repro,
2001-08-03,3.35, 1.71, -6.31, 2.03, 2.29, 8.81, repro,
2001-08-04,0.43, 0.19, -2.58, 2.11, 2.04, 9.51, repro,
2001-08-05,2.59, 1.35, 6.61, 1.43, 1.45, 6.55, repro,
2001-08-06,1.10, 1.19, 2.35, 2.43, 2.33, 10.94, repro,
2001-08-07,-0.40, 2.89, 7.08, 1.47, 1.56, 6.62, repro,
2001-08-08,0.67, 3.44, 7.73, 1.89, 1.84, 8.6, repro,
2001-08-09,-1.67, -1.17, -3.35, 2.3, 2.28, 10.56, repro,
2001-08-10,2.58, 2.54, -8.61, 1.92, 1.96, 8.79, repro,
2001-08-11,-0.40, 2.45, -0.80, 1.86, 1.9, 8.53, repro,
2001-08-12,0.54, 3.58, 4.25, 1.9, 1.99, 8.46, repro,
2001-08-13,0.03, 5.57, 6.79, 1.96, 2.16, 8.58, repro,
2001-08-14,0.00, 1.56, -3.08, 2.01, 2.01, 8.73, repro,
2001-08-15,1.14, 3.65, 9.70, 2.21, 2.23, 9.83, repro,
2001-08-16,-1.82, 6.05, -1.23, 2.14, 2.15, 9.49, repro,
2001-08-17,2.05, 5.16, -2.06, 2.4, 2.48, 10.54, repro,
2001-08-18,0.13, 5.51, 12.68, 2.23, 2.28, 10.03, repro,
2001-08-19,-1.24, -0.32, 5.37, 2.07, 2.31, 9.02, repro,
2001-08-20,2.55, 4.26, 2.28, 2.11, 2.25, 9.32, repro,
2001-08-21,1.94, 6.26, 2.41, 2.25, 2.22, 9.84, repro,
2001-08-22,0.86, 3.56, 0.83, 2.18, 2.23, 9.96, repro,
2001-08-23,2.56, 0.78, -19.13, 2.32, 2.35, 10.42, repro,
2001-08-24,-0.55, -1.74, 4.64, 1.85, 1.91, 8.19, repro,
2001-08-25,-0.32, 0.90, 2.96, 2.14, 2.36, 9.52, repro,
2001-08-26,0.80, 6.11, 1.11, 2.1, 2.13, 9.57, repro,
2001-08-27,0.12, 2.17, 8.20, 1.45, 1.58, 6.43, repro,
2001-08-28,1.27, 1.90, -8.59, 1.97, 2.05, 8.58, repro,
2001-08-29,-1.52, 0.62, 10.55, 2.16, 2.21, 9.7, repro,
2001-08-30,-0.13, -4.32, 2.21, 2.18, 2.36, 9.72, repro,
2001-08-31,2.01, -3.37, -4.97, 2.53, 2.49, 11.35, repro,
2001-09-01,1.34, -0.57, -2.54, 1.94, 2.14, 8.68, repro,
2001-09-02,-0.49, 0.00, 2.54, 2.12, 2.11, 9.12, repro,
2001-09-03,1.21, -0.35, -8.77, 2.23, 2.42, 9.67, repro,
2001-09-04,4.94, -4.06, 0.23, 2.39, 2.51, 10.51, repro,
2001-09-05,0.21, 0.51, 0.20, 2.31, 2.33, 9.87, repro,
2001-09-06,2.58, -0.29, 0.00, 2.23, 2.41, 9.41, repro,
2001-09-07,0.16, 4.32, 8.52, 1.95, 1.97, 8.52, repro,
2001-09-08,1.72, -1.33, 4.86, 1.97, 2.06, 8.61, repro,
2001-09-09,0.64, 2.01, -0.96, 1.95, 1.94, 8.49, repro,
2001-09-10,0.50, 2.96, -8.35, 1.77, 1.85, 7.8, repro,
2001-09-11,0.74, 1.63, -5.66, 2.02, 2.06, 8.42, repro,
